x      y_noise
0.0000 1.5000
0.1010 1.9040
0.2020 2.3081
0.3030 2.7121
0.4040 3.1162
0.5051 3.5202
0.6061 3.9242
0.7071 4.3283
0.8081 4.7323
0.9091 5.1364
1.0101 5.5404
1.1111 5.9444
1.2121 6.3485
1.3131 6.7525
1.4141 7.1566
1.5152 7.5606
1.6162 7.9646
1.7172 8.3687
1.8182 8.7727
1.9192 9.1768
2.0202 9.5808
2.1212 9.9848
2.2222 10.3889
2.3232 10.7929
2.4242 11.1970
2.5253 11.6010
2.6263 12.0051
2.7273 12.4091
2.8283 12.8131
2.9293 13.2172
3.0303 13.6212
3.1313 14.0253
3.2323 14.4293
3.3333 14.8333
3.4343 15.2374
3.5354 15.6414
3.6364 16.0455
3.7374 16.4495
3.8384 16.8535
3.9394 17.2576
4.0404 17.6616
4.1414 18.0657
4.2424 18.4697
4.3434 18.8737
4.4444 19.2778
4.5455 19.6818
4.6465 20.0859
4.7475 20.4899
4.8485 20.8939
4.9495 21.2980
5.0505 21.7020
5.1515 22.1061
5.2525 22.5101
5.3535 22.9141
5.4545 23.3182
5.5556 23.7222
5.6566 24.1263
5.7576 24.5303
5.8586 24.9343
5.9596 25.3384
6.0606 25.7424
6.1616 26.1465
6.2626 26.5505
6.3636 26.9545
6.4646 27.3586
6.5657 27.7626
6.6667 28.1667
6.7677 28.5707
6.8687 28.9747
6.9697 29.3788
7.0707 29.7828
7.1717 30.1869
7.2727 30.5909
7.3737 30.9949
7.4747 31.3990
7.5758 31.8030
7.6768 32.2071
7.7778 32.6111
7.8788 33.0152
7.9798 33.4192
8.0808 33.8232
8.1818 34.2273
8.2828 34.6313
8.3838 35.0354
8.4848 35.4394
8.5859 35.8434
8.6869 36.2475
8.7879 36.6515
8.8889 37.0556
8.9899 37.4596
9.0909 37.8636
9.1919 38.2677
9.2929 38.6717
9.3939 39.0758
9.4949 39.4798
9.5960 39.8838
9.6970 40.2879
9.7980 40.6919
9.8990 41.0960
10.0000 41.5000
